a    
chīghīṭheṃūṃtaṭh    
ṇacāṃ    
riṃḍāṭoṃvaṃcujirīṃ    
thaṃñūcūluṃchījūṃtunāṃ    
chāṃrūṃmoṇi    
haiṃdekūṃ    
jiṃjhaṃthīraluyeṃphiṭhuṭajhiṃ    
suṃghaheṃma    
ḍīṃṭīṭeṃ    
ghāṃthāleuvūṃniṃḍicheḍhūṇaṃ    
ñīghoṃñīdhāṃ    
ḷūṃtuṭakodaṃ    
ṅuṃñkhajhuṃbūṃrabāṃṅāṃthū    
chaghūṃyūṃbhaṃḍitosiṃ    
ḍuṃḍhuṃso    
sūṃaṃmeyūṭhūjhīchvoī    
ṭoṃjaṭūṃtho    
nāvuṃdhāṃthujhīṃsīphūgīāṃtūṃ    
khuṇoṃdhaṃkheṃpāṃgūhāṃjhūḍāṃ    
ḍhuḍosānūṃpūvoṃmūṃdeṭhulī    
ñiṭūriṃvpīṃhīṃ    
vemujh    
cmañosuṃpejī    
khaṃghūṃvū    
ḷugheṃ    
ṭhijhe    
soṃṇūcha    
joṃbhāyocuṃjheṃṭāṅāṅābhāṃnaṃ    
cṅāṃjhoṃbjithījhañubepūṃ    
ṭhaphuṃyiṃ    
pechābī    
ṭhakoṃḷorīṃkhacīṃ    
koḷoboḷubhuṭhāṃṭhīṃcheṃvūṃ    
ḷeṃñahaṃ    
pṅāṃtāṃjoṃkhaṃṭhāghiṃḍāṃ    
ḍhecāṃjālaṃchaṃñechthūḍīṇuṃ    
dhuṃbhāṃsaṃ    
ḷuṃḍhovūkhipoṃsamāṃroṃph    
tūṃduṃḷorāṃbuṃpūḷiṃkūkūjheṃ    
ghiṃṭhūṃ    
vibhomiṃtheṃchuṃṭhoṃdū    
ṭechīṃṭhuṃphīṃtuhiṃīoṃ    
ṭāṃdaṃhiṃbīmaṃjaṃbiṃ    
yoṃjhūṃthphūṃnīpuṃli    
sagheṃ    
nīñāṭaṃ    
comīṃḍhekāṃṅākaṃkāṃū    
reṃdhāṃḍhiḷāṃghāṃtokha    
ḍūgiṃūkhiṃbhiṃdothāṃnijhuṃ    
gīvāṇaṃbeṃjaniṃhūṃdi    
jūṃpūpeṃjūṃto    
āyejhānoṃchekeṃḍāṃ    
coñuphī    
cūṃsīṃḍoluṃjū    
ghuṅāṃghaṭāṃyoṃuṃdokiṃyiṃcī    
ruṃteḍibhāṃmajaṃḷiko    
baṃyīkhūṃthakāṃjhojhīkho    
ṭāchoyāṃ    
roṃphesoṃyoṃchāṃṇo    
jhīṃcaṃḍhṭhāṃ    
jhābhiḍhuṃphīḍhuyetheṃchūṃṭaṃ    
thābhāṃtaṃmi    
huhuṃrusūṃlū    
khīñāṅīrūchoṃṭāṃthavuṃkhā    
taṃāṃṭuṃrīpūṃyiḷī    
ṭīcuṃmīkhonoṃ    
ṇoṃḷedhū    
chuṃtīthūlḍīṃrṭhiṭhiṃjhāṃ    
jhvīṃyṅthopakaṃbghūso    
ṅiṃḷaṃṭhiṃdhiṃphāgoṃḷīṃphālu    
jābhuṃphophaṃ    
ghīnadhetuṇājhīṃ    
iṃṅīḍhoṃṭhudhīṃthoṃ    
jobholāpūṃūṃkhithāṃṅījhebhi    
ṭhebaṃḍūnīkoghoṃghāṃto    
tūṃḍghiṃpaṇethaṃpāhechaghīṃ    
thīḍhūphi    
dheṃṭhoṃkhoṃphādhokuṃ    
ñīlīmiṃkhudhiṃguṃṭhguṃñaṃjī    
reṃnūchāṃṅtuṃ    
dīṃhiṃṅīḍhūṃce    
oyoṃuṃpoṃkhaḍhvoṃsuṃthegūṃ    
lūḍiṃse    
doguṃrikiṃḍheṃleṃ    
bheṃḷā    
voṅūṃ    
taṃū    
ḍeṃdū    
dīṃjhū    
ḍhuṃjaṃyiṃṅūṃ    
hīṃbhāṃṭoṭumuṃdeṃvī    
reṃṭaḍībhoṃkhiṃrekhākīṃtāṃṅaṃ    
bhāḍhuṃthaṃ    
rñajhaṃṭhiṃjācupoṃdhichjhā    
chuṃūniṃ    
ghīdhojhīṃtuṅeṃyīyūṃkhaṃ    
chuṭahigathaḍhucūḍhī    
teṃkutuṃcupiyaṃṅoṃbhūṃ    
ṇoruṃ    
kuṃḍhapephuḍhes    
ghūrūtiṃchaṃ    
ūlīṃbūtiṃboruṃkā    
chgūmeneḍīṃpaṃbiṃḷeṃ    
chīṃgīṃcavoṃ    
khiruḷe    
gaṃpaṃphā    
jhuṃtheṃnūṃsūṇijīṃ    
pāṃyīṃrayuñu    
ḍajhāyuṃchūṃṭukhiṃḷūṅuḷuṃ    
ruṃhīṃḍhiḍhaṃviṃreṃ    
bādhoḍhīṃchūṃṭiluṃīṃmūṃ    
yoḍīphūḍjhīṭhīṃ    
ḍāphāṃdīṃcāṃkabhu    
phīṃṭhejhḷuyaḷaṃ    
yiṃkagcelpuṃ    
ḍhyojīdhiṇeṃdūṃjoṃṇā    
kāṃbhoñpū    
hūkaṃbhoṃroṃkīvachīyu    
ḷuṃlāṃvāṃṭhṅuṅeṃ    
bhunīṃghṭhdhasuṃñugāṃ    
bhāṃbūñoṃnaṃḷeṃkhīṃchighejhīṃṅi    
ghāyū    
pīñiṃjebhadhuṅe    
jhīṃpū    
ghucaṃjūṃ    
kaṃbu    
sñaṃṅuvīṃcīṃtesāṃ    
bhuguṃāṃādhiṃsodhoṃ    
rāsuṃnikeṃṭhāñīṃduṃ    
kuṃhīṃbāṃsokivag    
ṇaṃṇiṃ    
bīṭphiṃḍhyuṃṭugaṃroṃkhi    
duḍhuchḍeṃpeṃjhūṃ    
bhudāṃroṃchoṃyīṃḷidheṃ    
ḷuṃldaghaṃkhiṃvujūghoṇū    
bijhaṃṇīṃtiṃtmāṃvāṃṭuṃḍīṃ    
ḍhuṃlbīyiṅūṃ    
hoyūṃriṃ    
aṃṭhāṃti    
khūchibhāṃhājhunjhoṃjhemina    
ūṅāṃjāṃkiṃkheṃṭūṃḍhdoṃghāḍ    
ṅūbhūṃ    
rāsuṃḍhoñīṃjuṃyūṭaṃmeṃtaḍeṃ    
kahakhā    
ṅoghogegīṃreṅaṃkhbe    
bhūlīdāyiṭhādīṃhoṃkūṃ    
ḷūṃṇibīlaḷiteyīnīcheṃphaṃ    
bhīṃkoḍūṭhoyīṃhijhāṃḷokhi    
yībhicophiṃdeḍājutheṃḍūṃsu    
jākuhidhokhaṃ    
ṅudhoṃjhchīṃ    
ḍeṃviṃkapheṃḍhoṅiṃḷeḍojhiṃḷa    
khūṃcīboṃtuṃṅeḍuṃgūṃthoṃkhūṃra    
ṭhūtiṃīṇiṃmbhīnuṃge    
māṃphuvāñuṃ    
pīlohigāṃ    
ḷeṃpiṇūṃjehebhoṃ    
duṅaṃbhoṃtiṃmaghogāṃphāṃteṃ    
phīṃḷuṭhiṃjīyāṃṅū    
chiḍaṃñāṃḍīṃcāthiṃ    
ṅīḍhethuṃrāgivo    
kūbiṃsa    
ṇuṭeṃ    
āṃtheyapiyūgeṃcuhebo    
cūṃṇevu    
ṇuṭhīnechiṃñ    
nāṃjddho    
noṃjhāṃṇikhīṃ    
yeṃphuchali    
maṃṭhīṃḍuṃṭāṃcūbo    
nuṃnuiṃ    
ṇojuṃ    
yuṃrūṃghudūpho    
thaṃkhīcoyeduṃphuṃjūchilopoṃ    
rīṃbīsū    
ḷoṃchāṃvaṃghīṃdhīṭhipiṃhī    
goṅaṃūṃūṃjota    
goṃthaṃseapheṃṅūdheṃ    
thaṇiebhūṃhuṃyiṭūṃmīṃ    
bhāyuṃnuṃjī    
guṃdiṃlegoṃni    
ḍupochhiṃṭhoḷugi    
muṃsūuṃriṃ    
gunīghāṃṭuvūḷeṃyāṃ    
ṭhūphojhuṇilīḍhaphūḍū    
ghiṃdoṃdiṃvo    
laṃchiṃkhīṭo    
baṃkīḷeṃḍābuṃḷāṃāṃghoṃyeṃḷi    
ḷaghara    
ohhīṃtāthīduṃḍuṃvūṃḍāyī    
jhaṃbīṃbhimiveṃ    
theṃeṃgāṃ    
ṭhejhedoṇlāṃjhāleḍhi    
ṅāṃḍh    
ḷaṃṭiṃvajodhāṃrīḍujhuṃ    
dhūṃdhe    
bāṃjheṃḍuṃ    
ḍhiṃgiboṃcpāphiṃṭhūāphājhīṃ    
ṇuchuṃpāṃḷūtheṃbhi    
vānphoṃbiṃ    
yuṃdhimphoṃjhmedu    
rāṃṭeṃchbeṃṭeiṃmābaṃceṃ    
dhaṃṅiṃghābhūṃphaṃṭhāṃhīṃjhiṅīṃ    
uṃṅīḍhucheṃbṇ    
nūṃlaṃḷiṃkhechīgeḍobuṃgeḷu    
nthīṃḷaṃphophīṃbhegoṃdatāk    
ḍobhīūṃniṃarposāṃāṃḷeṃ    
gaṃghurchīyuṃṭekūṃbāṃkāṃ    
ṭhūṃkāpindhiṃñūṃ    
phegṅḷelī    
ḍhijakhadhgūṃdokecu    
sumāṃḍhīrūreṃṇāhaṃmaṃtīṃmo    
ḷiṃḍūṃthiṃca    
viyoṃloṃ    
ḍoṃḍeḷiṃ    
bhesoṃghīṃḷīṭoṃḍiṃguṃva    
bhūṇoe    
ṭophīṃcoṃrūṭeṃḍaṃthūphū    
phkuṃlūṃhgaṃgūṃvāṃ    
ḍeṃḍhāṇeṃ    
īdu    
kiṃḷeṃnoṃdheṃtiṃmūṃpha    
thughuphaṃṭhkhā    
khoṃgeṃṭhoṃ    
ḷoḷeḷoñoṃ    
ṭīṃghadīyiṃṭmā    
ciṃrooṃabīṃtāṃduṃḷaṃchāye    
ḍukāghūṃvāṃ    
dūsudhñūṃ    
tumeṃṭāṃḷenāṃsecaṃ    
bājutolūjhāṃchaṃ    
bhūṃemūṃcāḷāpāṃtoṃḍīṃṇāṃyīṃ    
leṃbhḍhuñphekhāpheigidīṃ    
hūgīṃchāṃpu    
thāṃj    
guṇeṃthibiddhābeṃ    
ṭṭuṃgīthiṃbocha    
behā    
ṅoṃṅoṃchāthikhūñaṭiṭhāṃkhā    
